Clip,FilterID,fc,N,Window,E_0_150,E_0_200,E_0_250,E_250_1000,E_1000plus,Retention,Leakage
clip1_bass_drum,fc150_N1000_blackman,150,1000,blackman,0.0141385638715452,0.0149688984779989,0.0149723041518605,6.05391215686135e-07,1.56071239781664e-07,0.625369552393368,0.0936232141795233
clip1_bass_drum,fc150_N1000_hamming,150,1000,hamming,0.0155071793159147,0.016277460673625,0.0162784654807828,6.52311375762241e-07,1.70439690891531e-07,0.685905433945423,0.0848520710954247
clip1_bass_drum,fc150_N1000_hann,150,1000,hann,0.0153739561028298,0.0161703220943428,0.0161716117949813,6.56274654446317e-07,1.69126629416603e-07,0.680012774557079,0.0882799306469992
clip1_bass_drum,fc150_N1000_rectwin,150,1000,rectwin,0.0171647457626482,0.0177170598833818,0.017718675276119,1.60298010930817e-06,1.87586741689811e-07,0.759222044902083,0.0573163721737632
clip1_bass_drum,fc150_N100_blackman,150,100,blackman,0.0214313026195569,0.0255817208482431,0.0261192250956888,0.00131209155746704,3.64017324274775e-07,0.947938153278246,0.761942512078455
clip1_bass_drum,fc150_N100_hamming,150,100,hamming,0.0207899848019371,0.0246837973943843,0.0251581205783016,0.00101311038350884,2.64582209187622e-07,0.919571719445888,0.679049767927295
clip1_bass_drum,fc150_N100_hann,150,100,hann,0.0211117963103168,0.0251330995318892,0.0256381176007715,0.00114589520129773,2.80666269164799e-07,0.933805917542588,0.717900908945039
clip1_bass_drum,fc150_N100_rectwin,150,100,rectwin,0.0189578897453735,0.0221439867826818,0.022457474557383,0.000439286297827819,7.64761335907738e-07,0.838535450424877,0.487968215025848
clip1_bass_drum,fc150_N2000_blackman,150,2000,blackman,0.0175987184973399,0.0182823561497424,0.0182827922567841,7.37253949185124e-07,1.92043591832068e-07,0.778417299618956,0.07199148246536
clip1_bass_drum,fc150_N2000_hamming,150,2000,hamming,0.0188142184742659,0.0194550074949768,0.0194554677686942,7.88583718854939e-07,2.04171638045396e-07,0.832180658006026,0.0655074260527715
clip1_bass_drum,fc150_N2000_hann,150,2000,hann,0.0184900027087152,0.0191400324547177,0.0191404880568387,7.74281081348083e-07,2.01019954666894e-07,0.817840116065313,0.0670256159591326
clip1_bass_drum,fc150_N2000_rectwin,150,2000,rectwin,0.0230387162519751,0.0236328023294436,0.0236338601459722,1.26905443119999e-06,2.45691438565637e-07,1.01903643121859,0.0562488842976501
clip1_bass_drum,fc150_N200_blackman,150,200,blackman,0.0186162048008365,0.0216936261311653,0.0219927024241829,0.000433261213700658,2.25681803194897e-07,0.823422220908356,0.47176159338252
clip1_bass_drum,fc150_N200_hamming,150,200,hamming,0.0169288080741471,0.0194260801232977,0.0196229449031647,0.000206220993348338,2.01309238505829e-07,0.748786172631661,0.354132441071212
clip1_bass_drum,fc150_N200_hann,150,200,hann,0.0176757284590384,0.0204192033474828,0.0206552279165471,0.000276816409555613,2.11260927241952e-07,0.781823563912471,0.399733617492087
clip1_bass_drum,fc150_N200_rectwin,150,200,rectwin,0.0125604779797481,0.0137430894944509,0.013773294910854,1.200653754622e-05,2.05923003247468e-07,0.555568483716399,0.1434399043698
