Clip,FilterID,fc,N,Window,Retention,Leakage
clip1_bass_drum,fc250_N50_blackman,250,50,blackman,0.983281056014581,0.789522641075081
clip1_bass_drum,fc250_N50_hamming,250,50,hamming,0.973593509817459,0.724037140056307
clip1_bass_drum,fc250_N50_hann,250,50,hann,0.978622349664417,0.755857882329093
clip1_bass_drum,fc250_N50_rectwin,250,50,rectwin,0.944898704702229,0.567160729327487
clip2_bass_guitar,fc150_N1000_blackman,150,1000,blackman,0.644385440400799,0.0697421796736431
clip2_bass_guitar,fc150_N1000_hamming,150,1000,hamming,0.719648828525753,0.0554126172989057
clip2_bass_guitar,fc150_N1000_hann,150,1000,hann,0.710340166817138,0.0600170215055498
clip2_bass_guitar,fc150_N1000_rectwin,150,1000,rectwin,0.826693596479672,0.0220226740021152
clip2_bass_guitar,fc150_N100_blackman,150,100,blackman,0.948672132034364,0.770013968092426
clip2_bass_guitar,fc150_N100_hamming,150,100,hamming,0.920618624447402,0.680486460360168
clip2_bass_guitar,fc150_N100_hann,150,100,hann,0.934708396141288,0.72265630031523
clip2_bass_guitar,fc150_N100_rectwin,150,100,rectwin,0.840223150302703,0.473559319598393
clip2_bass_guitar,fc150_N2000_blackman,150,2000,blackman,0.809520867860871,0.0334408359560705
clip2_bass_guitar,fc150_N2000_hamming,150,2000,hamming,0.852527482806587,0.0231712462710075
clip2_bass_guitar,fc150_N2000_hann,150,2000,hann,0.840874167743949,0.0256992552262198
clip2_bass_guitar,fc150_N2000_rectwin,150,2000,rectwin,1.00569047621227,0.00748679565911583
clip2_bass_guitar,fc150_N200_blackman,150,200,blackman,0.824978970704205,0.459335925868169
clip2_bass_guitar,fc150_N200_hamming,150,200,hamming,0.750144633973211,0.338659703938188
clip2_bass_guitar,fc150_N200_hann,150,200,hann,0.783392542447252,0.384598576267828
clip2_bass_guitar,fc150_N200_rectwin,150,200,rectwin,0.554150977651453,0.130834078313709
clip2_bass_guitar,fc150_N500_blackman,150,500,blackman,0.542666044485237,0.126529308169812
clip2_bass_guitar,fc150_N500_hamming,150,500,hamming,0.531171098414817,0.0959624145583054
clip2_bass_guitar,fc150_N500_hann,150,500,hann,0.511792764295132,0.0993761464632801
clip2_bass_guitar,fc150_N500_rectwin,150,500,rectwin,0.778273321923174,0.0668955093568883
clip2_bass_guitar,fc150_N50_blackman,150,50,blackman,0.986621109889367,0.921492318256286
clip2_bass_guitar,fc150_N50_hamming,150,50,hamming,0.978699288132662,0.88474976476504
clip2_bass_guitar,fc150_N50_hann,150,50,hann,0.982856807174313,0.903179945766229
clip2_bass_guitar,fc150_N50_rectwin,150,50,rectwin,0.955255334699364,0.7900971158325
clip2_bass_guitar,fc200_N1000_blackman,200,1000,blackman,0.720495771645648,0.00545385973323872
clip2_bass_guitar,fc200_N1000_hamming,200,1000,hamming,0.789592370257374,0.00327067670425456
clip2_bass_guitar,fc200_N1000_hann,200,1000,hann,0.770753601477734,0.00365514745028072
clip2_bass_guitar,fc200_N1000_rectwin,200,1000,rectwin,1.04703940433681,0.0031344977420539
clip2_bass_guitar,fc200_N100_blackman,200,100,blackman,0.914042117219052,0.592943498717138
clip2_bass_guitar,fc200_N100_hamming,200,100,hamming,0.869884617071851,0.462504591501083
clip2_bass_guitar,fc200_N100_hann,200,100,hann,0.891461157451654,0.520571506525105
clip2_bass_guitar,fc200_N100_rectwin,200,100,rectwin,0.746290846323576,0.194947883714472
clip2_bass_guitar,fc200_N2000_blackman,200,2000,blackman,0.877559401337007,0.0019903756233228
clip2_bass_guitar,fc200_N2000_hamming,200,2000,hamming,0.923579796062805,0.00182235617134066
clip2_bass_guitar,fc200_N2000_hann,200,2000,hann,0.914966021353139,0.00185690705538192
clip2_bass_guitar,fc200_N2000_rectwin,200,2000,rectwin,1.03398407086407,0.00210933339088181
clip2_bass_guitar,fc200_N200_blackman,200,200,blackman,0.737909512380187,0.210699035051295
clip2_bass_guitar,fc200_N200_hamming,200,200,hamming,0.65068681723451,0.114337145369425
clip2_bass_guitar,fc200_N200_hann,200,200,hann,0.683962028203847,0.14105507744769
clip2_bass_guitar,fc200_N200_rectwin,200,200,rectwin,0.441006902093213,0.0106709618004626
clip2_bass_guitar,fc200_N500_blackman,200,500,blackman,0.549563230090318,0.0218778088586491
clip2_bass_guitar,fc200_N500_hamming,200,500,hamming,0.598591841378896,0.0127505550762696
clip2_bass_guitar,fc200_N500_hann,200,500,hann,0.570107701511913,0.0141566766782288
clip2_bass_guitar,fc200_N500_rectwin,200,500,rectwin,1.02833450490758,0.00576790382558615
clip2_bass_guitar,fc200_N50_blackman,200,50,blackman,0.976875652437774,0.845319801003799
clip2_bass_guitar,fc200_N50_hamming,200,50,hamming,0.963399395234123,0.779310287302679
clip2_bass_guitar,fc200_N50_hann,200,50,hann,0.970425748724193,0.811646296375397
clip2_bass_guitar,fc200_N50_rectwin,200,50,rectwin,0.923763470419083,0.618959825706819
clip2_bass_guitar,fc250_N1000_blackman,250,1000,blackman,0.936060927937325,0.0145403031201614
clip2_bass_guitar,fc250_N1000_hamming,250,1000,hamming,0.967522697643432,0.0103803024872769
clip2_bass_guitar,fc250_N1000_hann,250,1000,hann,0.971582506141529,0.0112509169858772
clip2_bass_guitar,fc250_N1000_rectwin,250,1000,rectwin,0.925071438018287,0.00609598439711465
clip2_bass_guitar,fc250_N100_blackman,250,100,blackman,0.911859629786276,0.575405258033934
clip2_bass_guitar,fc250_N100_hamming,250,100,hamming,0.868613293475407,0.44736623677977
clip2_bass_guitar,fc250_N100_hann,250,100,hann,0.889176553505109,0.502630978059742
clip2_bass_guitar,fc250_N100_rectwin,250,100,rectwin,0.746987968920839,0.182548310663115
clip2_bass_guitar,fc250_N2000_blackman,250,2000,blackman,0.97960068329307,0.0067080806589501
clip2_bass_guitar,fc250_N2000_hamming,250,2000,hamming,0.98191880674649,0.0056144155708722
clip2_bass_guitar,fc250_N2000_hann,250,2000,hann,0.980254552973615,0.00579032416257796
clip2_bass_guitar,fc250_N2000_rectwin,250,2000,rectwin,1.00172885357274,0.00652728900339948
clip2_bass_guitar,fc250_N200_blackman,250,200,blackman,0.75325807319858,0.217791431140975
clip2_bass_guitar,fc250_N200_hamming,250,200,hamming,0.68926946970695,0.134027305062668
clip2_bass_guitar,fc250_N200_hann,250,200,hann,0.707810312198555,0.153293738349499
clip2_bass_guitar,fc250_N200_rectwin,250,200,rectwin,0.549690567908102,0.0275870431845799
clip2_bass_guitar,fc250_N500_blackman,250,500,blackman,0.743086480056871,0.0459402609088593
clip2_bass_guitar,fc250_N500_hamming,250,500,hamming,0.829406238696003,0.0297156367176784
clip2_bass_guitar,fc250_N500_hann,250,500,hann,0.814959355975894,0.0338128417319322
clip2_bass_guitar,fc250_N500_rectwin,250,500,rectwin,1.01073226372117,0.0147410312724331
clip2_bass_guitar,fc250_N50_blackman,250,50,blackman,0.97572704719063,0.833777929154043
clip2_bass_guitar,fc250_N50_hamming,250,50,hamming,0.961741590497643,0.764526693990195
clip2_bass_guitar,fc250_N50_hann,250,50,hann,0.968989920918025,0.79813724723705
clip2_bass_guitar,fc250_N50_rectwin,250,50,rectwin,0.920553078322153,0.597446672091201
clip3_dubstep,fc150_N1000_blackman,150,1000,blackman,0.94475855266319,0.0464990691482245
clip3_dubstep,fc150_N1000_hamming,150,1000,hamming,0.982876248292838,0.0387111190323085
clip3_dubstep,fc150_N1000_hann,150,1000,hann,0.998895870019337,0.0410865671869252
clip3_dubstep,fc150_N1000_rectwin,150,1000,rectwin,0.821656795851994,0.0227092326824814
clip3_dubstep,fc150_N100_blackman,150,100,blackman,0.982288042404666,0.624005696492368
clip3_dubstep,fc150_N100_hamming,150,100,hamming,0.972338424609965,0.560576251469627
clip3_dubstep,fc150_N100_hann,150,100,hann,0.977374939121574,0.591005177991396
clip3_dubstep,fc150_N100_rectwin,150,100,rectwin,0.943027294725316,0.403168378094598
clip3_dubstep,fc150_N2000_blackman,150,2000,blackman,0.993879977129177,0.0290221521860965
clip3_dubstep,fc150_N2000_hamming,150,2000,hamming,0.997283977128459,0.0246860903453718
clip3_dubstep,fc150_N2000_hann,150,2000,hann,0.995286702324654,0.0257107621603194
clip3_dubstep,fc150_N2000_rectwin,150,2000,rectwin,1.02144105109331,0.0187870292747052
clip3_dubstep,fc150_N200_blackman,150,200,blackman,0.936646970415537,0.386368559481947
clip3_dubstep,fc150_N200_hamming,150,200,hamming,0.906734559807516,0.281110606971041
clip3_dubstep,fc150_N200_hann,150,200,hann,0.920442199809225,0.322542998883952
clip3_dubstep,fc150_N200_rectwin,150,200,rectwin,0.820479805609563,0.090475533649372
clip3_dubstep,fc150_N500_blackman,150,500,blackman,0.813887471698057,0.0919771172368562
clip3_dubstep,fc150_N500_hamming,150,500,hamming,0.822217556897137,0.0656857582485701
clip3_dubstep,fc150_N500_hann,150,500,hann,0.801242154827627,0.0691685646141078
clip3_dubstep,fc150_N500_rectwin,150,500,rectwin,1.08132975793141,0.0469288319937155
clip3_dubstep,fc150_N50_blackman,150,50,blackman,0.995445037869139,0.744981230817605
clip3_dubstep,fc150_N50_hamming,150,50,hamming,0.992728769840044,0.707973341703969
clip3_dubstep,fc150_N50_hann,150,50,hann,0.994157138397444,0.724027675684315
clip3_dubstep,fc150_N50_rectwin,150,50,rectwin,0.984631989317874,0.641758048807596
clip3_dubstep,fc200_N1000_blackman,200,1000,blackman,0.990878628045676,0.0570204193207011
clip3_dubstep,fc200_N1000_hamming,200,1000,hamming,1.00143748580574,0.0476921126903827
clip3_dubstep,fc200_N1000_hann,200,1000,hann,0.989511076599268,0.0498773993846652
clip3_dubstep,fc200_N1000_rectwin,200,1000,rectwin,1.15197814029845,0.0321971101456133
clip3_dubstep,fc200_N100_blackman,200,100,blackman,0.981422705480517,0.48624525702986
clip3_dubstep,fc200_N100_hamming,200,100,hamming,0.971344227226655,0.424301780929349
clip3_dubstep,fc200_N100_hann,200,100,hann,0.976348345906849,0.452957162971189
clip3_dubstep,fc200_N100_rectwin,200,100,rectwin,0.941543783950299,0.276180481855445
clip3_dubstep,fc200_N2000_blackman,200,2000,blackman,0.997118987168327,0.0338144715327806
clip3_dubstep,fc200_N2000_hamming,200,2000,hamming,0.998915879830076,0.0275186951622187
clip3_dubstep,fc200_N2000_hann,200,2000,hann,0.997927858130892,0.0290989149926352
clip3_dubstep,fc200_N2000_rectwin,200,2000,rectwin,1.01067017717238,0.0174418198811051
clip3_dubstep,fc200_N200_blackman,200,200,blackman,0.93827720559653,0.274318079442952
clip3_dubstep,fc200_N200_hamming,200,200,hamming,0.913679294272403,0.195272317025518
clip3_dubstep,fc200_N200_hann,200,200,hann,0.92365171944836,0.221996639791644
clip3_dubstep,fc200_N200_rectwin,200,200,rectwin,0.844144117753426,0.0562201224547656
clip3_dubstep,fc200_N500_blackman,200,500,blackman,0.901292170263878,0.0893918001246568
clip3_dubstep,fc200_N500_hamming,200,500,hamming,0.952302832518484,0.0750150456284973
clip3_dubstep,fc200_N500_hann,200,500,hann,0.926355670281501,0.0771873972452488
clip3_dubstep,fc200_N500_rectwin,200,500,rectwin,1.32033622537503,0.0559594393741411
clip3_dubstep,fc200_N50_blackman,200,50,blackman,0.995133343190765,0.623876253949717
clip3_dubstep,fc200_N50_hamming,200,50,hamming,0.992256269548268,0.576975637455715
clip3_dubstep,fc200_N50_hann,200,50,hann,0.993762380554024,0.596324854416727
clip3_dubstep,fc200_N50_rectwin,200,50,rectwin,0.98367013511962,0.503955822527845
clip3_dubstep,fc250_N1000_blackman,250,1000,blackman,0.995111536737185,0.0424677282983505
clip3_dubstep,fc250_N1000_hamming,250,1000,hamming,0.990186565851333,0.0381922761426807
clip3_dubstep,fc250_N1000_hann,250,1000,hann,0.998320183981782,0.0395920514139842
clip3_dubstep,fc250_N1000_rectwin,250,1000,rectwin,0.902626958071577,0.0264823831893446
clip3_dubstep,fc250_N100_blackman,250,100,blackman,0.980291941167001,0.22775829665767
clip3_dubstep,fc250_N100_hamming,250,100,hamming,0.970127988922731,0.188391124757859
clip3_dubstep,fc250_N100_hann,250,100,hann,0.975034301581913,0.205023864609981
clip3_dubstep,fc250_N100_rectwin,250,100,rectwin,0.940083512697027,0.106322052114196
clip3_dubstep,fc250_N2000_blackman,250,2000,blackman,0.997818569563723,0.03114176900863
clip3_dubstep,fc250_N2000_hamming,250,2000,hamming,0.998788048070672,0.0272123110795807
clip3_dubstep,fc250_N2000_hann,250,2000,hann,0.998477126286278,0.0282854356988063
clip3_dubstep,fc250_N2000_rectwin,250,2000,rectwin,1.002551785737,0.019129149347583
clip3_dubstep,fc250_N200_blackman,250,200,blackman,0.940880017295451,0.113709086641718
clip3_dubstep,fc250_N200_hamming,250,200,hamming,0.923322632885578,0.0822505776437952
clip3_dubstep,fc250_N200_hann,250,200,hann,0.928619869236294,0.0901820220974865
clip3_dubstep,fc250_N200_rectwin,250,200,rectwin,0.881195838627232,0.0324494891950214
clip3_dubstep,fc250_N500_blackman,250,500,blackman,0.96276071168613,0.052946297151712
clip3_dubstep,fc250_N500_hamming,250,500,hamming,0.991157646685695,0.0492402926665646
clip3_dubstep,fc250_N500_hann,250,500,hann,0.997271064270845,0.0503342847336662
clip3_dubstep,fc250_N500_rectwin,250,500,rectwin,0.924338368024225,0.0399704933339856
clip3_dubstep,fc250_N50_blackman,250,50,blackman,0.994701819112057,0.36751172661488
clip3_dubstep,fc250_N50_hamming,250,50,hamming,0.991608260415132,0.306880616846639
clip3_dubstep,fc250_N50_hann,250,50,hann,0.993217623645415,0.329279950748614
clip3_dubstep,fc250_N50_rectwin,250,50,rectwin,0.982373261717994,0.242260646697834
clip4_funk_bass,fc150_N1000_blackman,150,1000,blackman,0.775298346851477,0.0344322335067524
clip4_funk_bass,fc150_N1000_hamming,150,1000,hamming,0.860959566487193,0.0248813317025421
clip4_funk_bass,fc150_N1000_hann,150,1000,hann,0.852682118763204,0.0274049152245491
clip4_funk_bass,fc150_N1000_rectwin,150,1000,rectwin,0.959508577700855,0.00916012173885124
clip4_funk_bass,fc150_N100_blackman,150,100,blackman,0.961936622990363,0.809429159855431
clip4_funk_bass,fc150_N100_hamming,150,100,hamming,0.940906338847811,0.719643641918682
clip4_funk_bass,fc150_N100_hann,150,100,hann,0.951501587877501,0.762992550170058
clip4_funk_bass,fc150_N100_rectwin,150,100,rectwin,0.879974967343637,0.495522498584543
clip4_funk_bass,fc150_N2000_blackman,150,2000,blackman,0.941938284612429,0.0135799929654639
clip4_funk_bass,fc150_N2000_hamming,150,2000,hamming,0.963979495178309,0.00912858304937005
clip4_funk_bass,fc150_N2000_hann,150,2000,hann,0.961514883538932,0.0101465972244426
clip4_funk_bass,fc150_N2000_rectwin,150,2000,rectwin,0.996286776223798,0.0045113661701493
clip4_funk_bass,fc150_N200_blackman,150,200,blackman,0.867761205944435,0.475935333193746
clip4_funk_bass,fc150_N200_hamming,150,200,hamming,0.80895948392813,0.333985427531139
clip4_funk_bass,fc150_N200_hann,150,200,hann,0.83540771527401,0.388831476888696
clip4_funk_bass,fc150_N200_rectwin,150,200,rectwin,0.648957305701239,0.0901637998005679
clip4_funk_bass,fc150_N500_blackman,150,500,blackman,0.638293234891656,0.0933800093088383
clip4_funk_bass,fc150_N500_hamming,150,500,hamming,0.636241859300223,0.0602574945757448
clip4_funk_bass,fc150_N500_hann,150,500,hann,0.613340017284997,0.0656737732159579
clip4_funk_bass,fc150_N500_rectwin,150,500,rectwin,0.928814395607196,0.0328801819178446
clip4_funk_bass,fc150_N50_blackman,150,50,blackman,0.990130998484978,0.9456036237396
clip4_funk_bass,fc150_N50_hamming,150,50,hamming,0.984271057731627,0.915489340275294
clip4_funk_bass,fc150_N50_hann,150,50,hann,0.987348859561937,0.931104982815124
clip4_funk_bass,fc150_N50_rectwin,150,50,rectwin,0.966879521738255,0.829938513314383
clip4_funk_bass,fc200_N1000_blackman,200,1000,blackman,0.919988554379801,0.0748143091551984
clip4_funk_bass,fc200_N1000_hamming,200,1000,hamming,0.950447349058677,0.0537945935522291
clip4_funk_bass,fc200_N1000_hann,200,1000,hann,0.945206962557651,0.0593417959950493
clip4_funk_bass,fc200_N1000_rectwin,200,1000,rectwin,1.02100215769454,0.0105513405190165
clip4_funk_bass,fc200_N100_blackman,200,100,blackman,0.953090479097421,0.774802338322902
clip4_funk_bass,fc200_N100_hamming,200,100,hamming,0.92835828495641,0.674650550571496
clip4_funk_bass,fc200_N100_hann,200,100,hann,0.940536786537021,0.721749181410482
clip4_funk_bass,fc200_N100_rectwin,200,100,rectwin,0.857265861503866,0.428576884540637
clip4_funk_bass,fc200_N2000_blackman,200,2000,blackman,0.964726307401978,0.0212107487622288
clip4_funk_bass,fc200_N2000_hamming,200,2000,hamming,0.974918105371735,0.0091524414369632
clip4_funk_bass,fc200_N2000_hann,200,2000,hann,0.972319001776964,0.0115239192989065
clip4_funk_bass,fc200_N2000_rectwin,200,2000,rectwin,1.00778929296631,0.0079280676830052
clip4_funk_bass,fc200_N200_blackman,200,200,blackman,0.851016873963147,0.429106113905387
clip4_funk_bass,fc200_N200_hamming,200,200,hamming,0.7967818628597,0.301805614316076
clip4_funk_bass,fc200_N200_hann,200,200,hann,0.818132123162652,0.344416159838794
clip4_funk_bass,fc200_N200_rectwin,200,200,rectwin,0.654894552148937,0.0825210506313907
clip4_funk_bass,fc200_N500_blackman,200,500,blackman,0.749742762698418,0.133661623689502
clip4_funk_bass,fc200_N500_hamming,200,500,hamming,0.817902296747072,0.109828449914461
clip4_funk_bass,fc200_N500_hann,200,500,hann,0.782047701348134,0.113922032709625
clip4_funk_bass,fc200_N500_rectwin,200,500,rectwin,1.35506097421126,0.0665041045569192
clip4_funk_bass,fc200_N50_blackman,200,50,blackman,0.98753663699979,0.933519866838581
clip4_funk_bass,fc200_N50_hamming,200,50,hamming,0.980224390040592,0.89756681385715
clip4_funk_bass,fc200_N50_hann,200,50,hann,0.984044118922587,0.916084923617608
clip4_funk_bass,fc200_N50_rectwin,200,50,rectwin,0.958569591986127,0.796004303612609
clip4_funk_bass,fc250_N1000_blackman,250,1000,blackman,0.92894693670512,0.0488335272181744
clip4_funk_bass,fc250_N1000_hamming,250,1000,hamming,0.944594305554845,0.0428886736361821
clip4_funk_bass,fc250_N1000_hann,250,1000,hann,0.943549256561894,0.0446011580503605
clip4_funk_bass,fc250_N1000_rectwin,250,1000,rectwin,0.960727734435225,0.0312682396105428
clip4_funk_bass,fc250_N100_blackman,250,100,blackman,0.936689474144502,0.652756844713964
clip4_funk_bass,fc250_N100_hamming,250,100,hamming,0.90567066345396,0.523498293217238
clip4_funk_bass,fc250_N100_hann,250,100,hann,0.920416562028295,0.58059317445296
clip4_funk_bass,fc250_N100_rectwin,250,100,rectwin,0.818459328601215,0.238773339916375
clip4_funk_bass,fc250_N2000_blackman,250,2000,blackman,0.972141315074095,0.0353481262308769
clip4_funk_bass,fc250_N2000_hamming,250,2000,hamming,0.986341035892283,0.0321147704648053
clip4_funk_bass,fc250_N2000_hann,250,2000,hann,0.983189494847478,0.0328944867817675
clip4_funk_bass,fc250_N2000_rectwin,250,2000,rectwin,1.02528136236224,0.0262992217407288
clip4_funk_bass,fc250_N200_blackman,250,200,blackman,0.822855052455615,0.2755215312382
clip4_funk_bass,fc250_N200_hamming,250,200,hamming,0.776740953850041,0.179569777742156
clip4_funk_bass,fc250_N200_hann,250,200,hann,0.790142607177106,0.202350331724666
clip4_funk_bass,fc250_N200_rectwin,250,200,rectwin,0.675291203672969,0.0483948748928235
clip4_funk_bass,fc250_N500_blackman,250,500,blackman,0.825438702756701,0.0808717509307135
clip4_funk_bass,fc250_N500_hamming,250,500,hamming,0.884602354357083,0.0647114523341907
clip4_funk_bass,fc250_N500_hann,250,500,hann,0.882581207236284,0.0687082756979768
clip4_funk_bass,fc250_N500_rectwin,250,500,rectwin,0.914277578456142,0.0502281011223896
clip4_funk_bass,fc250_N50_blackman,250,50,blackman,0.982546652390424,0.884900523765316
clip4_funk_bass,fc250_N50_hamming,250,50,hamming,0.972497374598737,0.828800585445413
clip4_funk_bass,fc250_N50_hann,250,50,hann,0.977704734703968,0.857172986943305
clip4_funk_bass,fc250_N50_rectwin,250,50,rectwin,0.942919538630472,0.675884623669045
