FilterID,fc,N,Window,PassbandRipple_dB,StopbandAtten_dB,TransWidth_Hz,GroupDelay_samples,GroupDelay_ms,BrickwallMSE
fc150_N1000_blackman,150,1000,blackman,2.53559671702372,75.9098710515337,151.79443359375,500,10.4166666666667,0.000438223154011688
fc150_N1000_hamming,150,1000,hamming,1.89536320952511,60.7753141164041,113.34228515625,500,10.4166666666667,0.000340691093340275
fc150_N1000_hann,150,1000,hann,2.1253034840902,55.4798640087518,117.1875,500,10.4166666666667,0.000362165067266069
fc150_N1000_rectwin,150,1000,rectwin,1.47823520688655,32.1208388782013,139.892578125,500,10.4166666666667,0.000229161530356121
fc150_N100_blackman,150,100,blackman,0.26554665876922,1.67892343310386,1030.8837890625,50,1.04166666666667,0.011465898611306
fc150_N100_hamming,150,100,hamming,0.417932927816052,2.66896275824401,768.310546875,50,1.04166666666667,0.0079491694202062
fc150_N100_hann,150,100,hann,0.340719945099078,2.17757383361764,755.31005859375,50,1.04166666666667,0.00924757040977886
fc150_N100_rectwin,150,100,rectwin,0.886997498886335,6.31344292979708,359.80224609375,50,1.04166666666667,0.00430756148244807
fc150_N2000_blackman,150,2000,blackman,0.793751020461319,85.6510712502325,75.8056640625,1000,20.8333333333333,0.000219227741695395
fc150_N2000_hamming,150,2000,hamming,0.30061680778481,59.1756885364448,56.57958984375,1000,20.8333333333333,0.000169552027858187
fc150_N2000_hann,150,2000,hann,0.418076782991576,75.3239547643858,58.77685546875,1000,20.8333333333333,0.000181953204449975
fc150_N2000_rectwin,150,2000,rectwin,1.02830747249011,35.9185297261978,24.5361328125,1000,20.8333333333333,0.000107418353434248
fc150_N200_blackman,150,200,blackman,0.981903639168851,6.35265517223862,554.99267578125,100,2.08333333333333,0.00360533243204704
fc150_N200_hamming,150,200,hamming,1.48030319009833,9.86966976890845,430.48095703125,100,2.08333333333333,0.00222028123064138
fc150_N200_hann,150,200,hann,1.251933002051,8.44721330939864,414.73388671875,100,2.08333333333333,0.00265101514223833
fc150_N200_rectwin,150,200,rectwin,3.13928700111924,18.0056998912652,206.9091796875,100,2.08333333333333,0.000922526116255873
fc150_N500_blackman,150,500,blackman,3.25904435660429,26.7815254414434,277.9541015625,250,5.20833333333333,0.000813736164192341
fc150_N500_hamming,150,500,hamming,3.43028010995873,43.4889857346732,224.4873046875,250,5.20833333333333,0.000665671435813192
fc150_N500_hann,150,500,hann,3.60599872436236,43.3356773789634,229.98046875,250,5.20833333333333,0.000715555486351518
fc150_N500_rectwin,150,500,rectwin,2.07674426993552,23.38871251579,92.6513671875,250,5.20833333333333,0.000395682549950361
fc150_N50_blackman,150,50,blackman,0.0676459088119068,0.424633400078844,2018.37158203125,25,0.520833333333333,0.0284594604204995
fc150_N50_hamming,150,50,hamming,0.108209543175342,0.680988676383894,1498.1689453125,25,0.520833333333333,0.0210848963750601
fc150_N50_hann,150,50,hann,0.0868727821128275,0.546793419228988,1475.830078125,25,0.520833333333333,0.0239352897592867
fc150_N50_rectwin,150,50,rectwin,0.230544505573841,1.48619040761101,692.138671875,25,0.520833333333333,0.0135295969954799
fc200_N1000_blackman,200,1000,blackman,1.79302661741762,76.5363531707439,151.79443359375,500,10.4166666666667,0.000438556588764906
fc200_N1000_hamming,200,1000,hamming,1.13890207233394,59.0782276398287,112.97607421875,500,10.4166666666667,0.000338992331994858
fc200_N1000_hann,200,1000,hann,1.34934094150909,63.3989150551516,117.919921875,500,10.4166666666667,0.000364331682184193
fc200_N1000_rectwin,200,1000,rectwin,1.33071393195361,32.905670133176,48.7060546875,500,10.4166666666667,0.000225347118569327
fc200_N100_blackman,200,100,blackman,0.462445141966478,2.94514471874715,1052.67333984375,50,1.04166666666667,0.00983961587960577
fc200_N100_hamming,200,100,hamming,0.720831441317237,4.66702098720144,795.22705078125,50,1.04166666666667,0.0064991256765132
fc200_N100_hann,200,100,hann,0.592639180274863,3.84733909852445,773.98681640625,50,1.04166666666667,0.007688029169107
fc200_N100_rectwin,200,100,rectwin,1.53857021309191,12.5838084523436,371.52099609375,50,1.04166666666667,0.00306147476613111
fc200_N2000_blackman,200,2000,blackman,0.276557185391673,92.4745760381201,75.8056640625,1000,20.8333333333333,0.000219210081319407
fc200_N2000_hamming,200,2000,hamming,0.0300043488213127,59.7366534480625,56.57958984375,1000,20.8333333333333,0.000169564061053557
fc200_N2000_hann,200,2000,hann,0.0710116828935137,83.0040450186355,58.77685546875,1000,20.8333333333333,0.000181908667310643
fc200_N2000_rectwin,200,2000,rectwin,0.661476652152731,37.1741996683587,24.71923828125,1000,20.8333333333333,0.000104268176734432
fc200_N200_blackman,200,200,blackman,1.59948341393548,10.532243362258,587.58544921875,100,2.08333333333333,0.00273116697469303
fc200_N200_hamming,200,200,hamming,2.29420306794896,15.7743752844032,464.90478515625,100,2.08333333333333,0.00170789397829249
fc200_N200_hann,200,200,hann,2.01647135541161,14.2157843432893,454.1015625,100,2.08333333333333,0.00196055955597779
fc200_N200_rectwin,200,200,rectwin,4.614260484855,23.1876473323699,247.37548828125,100,2.08333333333333,0.000966947200871579
